Company_Name,Founded,Location,Sector,What_it_does,Founders,Investor,Amount,Stage,Funding_Year,Main_Sector,Stages,Years of Existence
Ruangguru,2014,Mumbai,Edtech,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students","Adamas Belva Syah Devara, Iman Usman.",General Atlantic,150000000.0,Series C,2019,,Scaling,5.0
HomeLane,2014,Chennai,Interior design,Provides interior designing solutions,"Srikanth Iyer, Rama Harinath", FJ Labs,30000000.0,Series D,2019,,Scaling,5.0
Kaleidofin,2018,Chennai,Fintech,Platform that provides complete financial solutions for excluded individuals and households,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,5000000.0,Series A,2019,,Early Traction,1.0
JobSquare,2019,Ahmedabad,HR tech,Technology-based platform that is connecting suitable applicants to the right recruiters,Ishit Jethwa,Titan Capital,140500.0,,2019,,Unknown,0.0
LivFin,2017,Delhi,Fintech,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",Rakesh Malhotra,German development finance institution DEG,5000000.0,,2019,,Unknown,2.0
Zest Money,2015,Bangalore,Fintech,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,"Chapman, Priya Sharma, Ashish Anantharaman",Goldman Sachs.,15000000.0,Series B,2019,,Scaling,4.0
Witblox,2014,Bangalore,Edtech,Offers a range of robotics learning tools,Amit Modi,Mumbai Angels Network,182700.0,,2019,,Unknown,5.0
Azah Personal Care Pvt. Ltd.,2018,Gurugram,Health,Aims to solve some problems in the feminine hygiene sector,"Mohammed, Shashwat Diesh", Rohit Bansal.,3000000.0,Pre series A,2019,Health & Life Sciences,Validation,1.0
SalaryFits,2015,Chennai,Fintech,A platform that promotes financial well-being of employees at workplace,Renato Araujo,Brazilian VC Fund Confrapar,5000000.0,,2019,,Unknown,4.0
Pristyn Care,2018,Hyderabad,Healthcare,Delivers advanced medical care & clinical excellence aided by next-level technology,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney", AngelList.,12000000.0,Series B,2019,Software & Technology,Scaling,1.0
DROR Labs Pvt. Ltd,2018,Delhi,Safety tech,It uses technology to create a trust-based network of responsible citizens to ensure safety,"Dhiraj Naubhar, Dheeraj Bansal",Inflection Point Ventures,3000000.0,,2019,,Unknown,1.0
Medlife,2014,Bangalore,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,"Tushar Kumar, Prashant Singh",Wilson Global Opportunities Fund,15500000.0,,2019,Health & Life Sciences,Unknown,5.0
Seekify,2019,Delhi,SaaS,Customer Experience (CX) Automation platform,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,1500000.0,Seed funding,2019,,Validation,0.0
Toffee Insurance,2017,Chandigarh,Insurance technology,Provides variety of insurance plans and policies,"Nishant Jain, Rohan Kumar",IVM Intersurer,5500000.0,Series A,2019,Financial Services,Early Traction,2.0
HungerBox,2015,Bangalore,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Sandipan Mitra, Uttam Kumar", Neoplux.,12000000.0,Series C,2019,Software & Technology,Scaling,4.0
Bijak,2019,Pune,AgriTech,B2B platform for agricultural commodities.,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi", Sequoia Capital,2500000.0,Seed fund,2019,Agriculture,Validation,0.0
Pumpkart,2014,Chandigarh,E-marketplace,B2B model for appliances and electrical products,KS Bhatia,Dinesh Dua,3000000.0,,2019,Commerce & Retail,Unknown,5.0
Rivigo,2014,New Delhi,Logistics,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies","Deepak Garg, Gazal Kalra", Spring Canter Investment Ltd,20000000.0,Series F,2019,Transport,Scaling,5.0
HappyEasyGo,2017,Gurugram,Travel,Online flight booking,"Vivek Prabhakar, Boris Zha", M&S Partners,49400000.0,Series B+,2019,Hospitality,Scaling,2.0
Zetwerk,2018,Bangalore,Manufacturing,Provides facilities to get products manufactured.,"Amit Acharya, Srinath Ramakkrushnan", Accel and Kae Capital,32000000.0,Series B,2019,Manufacturing,Scaling,1.0
Freshokartz,2016,Jaipur,E-marketplace,Online fruits and vegetables delivery company,Rajendra Lora,ThinkLab,150000.0,Pre series A,2019,Commerce & Retail,Validation,3.0
Trell,2016,Bangalore,Social Media,Blogging platform that enables people to create visual collections of their travel and local experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba", Harsh Shah,2000000.0,Pre series A,2019,Media and Entertainment,Validation,3.0
Slintel,2016,Gurugram,SaaS,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",Deepak Anchala,Stellaris Ventures,1500000.0,,2019,,Unknown,3.0
Awign Enterprises,2016,Bangalore,,It supplies workforce to the economy,"Annanya Sarthak, Gurpreet Singh, Praveen Sah", Unitus Ventures.,4000000.0,Series A,2019,Others,Early Traction,3.0
Freightwalla,2017,Mumbai,B2B,Provides digital platform for businesses to plan and manage their international freight shipments online,"Sanjay Bhatia, Bharat Tanvi, Punit Java", Rogue One Capital,4000000.0,Series A,2019,Commerce & Retail,Early Traction,2.0
TapChief,2016,Bangalore,,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,"Shashank Murali, Binay Krishna, Arjun Krishna",Blume Ventures.,1500000.0,Pre series A,2019,Others,Validation,3.0
eJOHRI,2015,Mumbai,Jewellery,Omnichannel marketplace for gems and jewellery,"Jignesh Mehta, Shailen Mehta",Rajesh Ranavat,1000000.0,Pre series A,2019,Beauty and Fashion,Validation,4.0
Ninjacart,2015,Thane,B2B Supply Chain,"It connects producers of food directly to retailers, restuarants and service providers.","Thirukumaran Nagarajanin, Vasudevan Chinnathambi", Flipkart,3000000.0,,2019,Commerce & Retail,Unknown,4.0
Binca Games,2014,Mumbai,Games,It offers games that are available across India and UK.,"Rubianca Wadhwa, Sahil Wadhwa",Sunil Gavaskar,3000000.0,,2019,Software & Technology,Unknown,5.0
Stanza Living,2017,Delhi,Accomodation,Provides comfortable and secure accomodation for students,"Sandeep Dalmia, Anindya Dutta",Alteria Capital,5700000.0,,2019,Hospitality,Unknown,2.0
Lawyered,2015,Delhi,Legal tech,It helps to connect to legal advise online,"Ashish Bhatia, Himanshu Gupta", Sumit Aggarwal,100000.0,,2019,Business Services,Unknown,4.0
Licious,2015,Bangalore,Food,Online meat shop,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,25000000.0,Series D,2019,Food & Beverage,Scaling,4.0
Nivesh.com,2016,Noida,Mutual Funds,The platform simplifies the process of investment,"Anurag Garg, Sridhar Srinivasan",Windrose Capital,600000.0,,2019,Financial Services,Unknown,3.0
Zebu,2015,Bangalore,Cybersecurity,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",Team of Waterloo-based software developers,Unknown,4000000.0,Seed round,2019,Software & Technology,Validation,4.0
Shadowfax,2015,Bangalore,Logistics,A platform for delivery services,"Abhishek Bansal, Vaibhav Khandelwal", World Bank-backed IFC,60000000.0,Series D,2019,Transport,Scaling,4.0
Credr,2014,Mumbai,Automobile,A marketplace to buy and sell used bikes and scooters,Mittal, AngelList,6000000.0,,2019,Transport,Unknown,5.0
Sportido,2015,Noida,Sports,It is a sports discovery app that helps to find people and places to play 700+ sports,"Neeraj Aggarwala, Akhil Ramachandran", SucSEED Venture Partners.,3000000.0,Series B,2019,Sports & Fitness,Scaling,4.0
Phable,2018,Ludhiana,Healthtech,"It creates an engagement loop between doctors, hospitals, and patients via its app",Sumit Sinha, Wouter Peeters.,220000.0,,2019,Software & Technology,Unknown,1.0
IndyFint,2019,Bangalore,Virtual Banking,"It helps lenders to directly provide short-term loans to merchants, employees, and students",Paddy Padmanabhan,Saravanan Adiseshan,2100000.0,Series A,2019,Financial Services,Early Traction,0.0
Zolostays,2015,Gurgaon,Accomodation,It offers affordable housing apartments to young professionals and students,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry",Trifecta Capital,7000000.0,,2019,Hospitality,Unknown,4.0
GoMechanic,2016,Delhi,Automobile & Technology,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,5000000.0,Series B,2019,Software & Technology,Scaling,3.0
Spinny,2015,Delhi,Automobile,Online car retailer,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta", Accel Partners,50000000.0,,2019,Transport,Unknown,4.0
Aqgromalin,2019,Chennai,AgriTech,Cultivating Ideas for Profit,"Prasanna Manogaran, Bharani C L",Angel investors,200000.0,,2020,Agriculture,Unknown,1.0
Krayonnz,2019,Bangalore,EdTech,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,100000.0,Pre-seed,2020,,Ideation,1.0
PadCare Labs,2018,Pune,Hygiene management,Converting bio-hazardous waste to harmless waste,Ajinkya Dhariya,Venture Center,3000000.0,Pre-seed,2020,Health & Life Sciences,Ideation,2.0
NCOME,2020,New Delhi,Escrow,Escrow-as-a-service platform,Ritesh Tiwari, PointOne Capital,400000.0,,2020,,Unknown,0.0
Gramophone,2016,Indore,AgriTech,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan", Info Edge,340000.0,,2020,Agriculture,Unknown,4.0
qZense,2019,Bangalore,AgriTech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Rubal Chib, Dr Srishti Batra", 9Unicorns Accelerator Fund,600000.0,Seed,2020,Agriculture,Validation,1.0
Metvy,2018,Gurgaon,Networking platform,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,Shawrya Mehrotra,HostelFund,3000000.0,Pre-series,2020,Software & Technology,Unknown,2.0
Rupeek,2015,Bangalore,FinTech,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","Amar Prabhu, Ashwin Soni, Sumit Maniyar", Bertelsmann India Investments,45000000.0,Series C,2020,,Scaling,5.0
Gig India,2017,Pune,Crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Aditya Shirole, Sahil Sharma", Subramaniam Ramadorai,1000000.0,Pre-series A,2020,Financial Services,Validation,3.0
Slurrp Farm,2016,Gurgaon,Food & Bevarages,Slurrp Farm is a children health food brand.,Meghana Narayan,Fireside Ventures,2000000.0,Series A,2020,Food & Beverage,Early Traction,4.0
Medfin,2017,Bangalore,HealthTech,Medfin is a Discovery platform for medical procedures and financing.,"Arjun Kumar, Arun Kumar, Sidharth Gurjar", S.D. Shibulal,3000000.0,Series A,2020,Health & Life Sciences,Early Traction,3.0
MasterG,2015,New Delhi,Fashion startup,MasterG is a design and skill development organisation.,Gayatri Jolly,Acumen Fund's angel programme,3000000.0,,2020,Beauty and Fashion,Unknown,5.0
FoodyBuddy,2015,Belgaum,Food Industry,FoodyBuddy is a online food delivery portal,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,600000.0,,2020,Food & Beverage,Unknown,5.0
OurEye.ai,2020,Bangalore,Virtual auditing startup,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.","Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal", Amara Ventures,120000.0,,2020,,Unknown,0.0
Shiprocket,2017,New Delhi,E-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Gautam Kapoor, Saahil Goel, Vishesh Khurana", InnoVen Capital,7500000.0,Series C,2020,Commerce & Retail,Scaling,3.0
Moneyboxx Finance,2019,New Delhi,FinTech,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,Prashant Agarwal, Caspian,1000000.0,,2020,,Unknown,1.0
EWar,2019,Bangalore,Gaming,EWar Games is a e-sports and real-time gaming start-up.,"Parth Chadha, Rahul Singh", Jeet Banerjee,3000000.0,Pre-series A,2020,,Validation,1.0
SucSEED Indovation,2016,Hyderabad,FinTech,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Vikrant Varshney, BEENEXT,5000000.0,,2020,,Unknown,4.0
TaxBuddy.com,2019,Mumbai,FinTech,TaxBuddy for any tax related issues.,Sujit Bangar,Zenith Global,1000000.0,,2020,,Unknown,1.0
Awign Enterprises,2016,Bangalore,Work fulfillment,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah", Work10M,500000.0,,2020,Business Services,Unknown,4.0
Circle of Angels,2018,Gurgaon,FinTech,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Karanpal Singh, BEENEXT,3000000.0,,2020,,Unknown,2.0
CoinDCX,2017,Mumbai,FinTech,CoinDCX is a company that specializes in crypto-enabled financial services.,"Neeraj Khandelwal, Sumit Gupta", Polychain,10000000.0,Series B,2020,,Scaling,3.0
Glance,2016,Bangalore,AI startup,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Naveen Tewari,Mithril Capital Management.,145000000.0,,2020,,Unknown,4.0
